reference	candidate	human_score
"Law said that the courses covered a wide range of areas, the most important of which is ""vocational skills"" training in 19 industries including tourism, retail, and catering, and that there will also be some new courses on ""innovative technologies"" and cross-industry ""general skills""."	"Luo Zhiguang introduced that the relevant courses are very wide. The most important part is the training of ""vocational skills"", covering 19 industries, including tourism, retail and catering. There will also be some new ""innovative technology"" courses, as well as cross-industry ""universal skills"" courses."	0.9011835920726672
Тем временем в Портленде протесты продолжились, самые крупные акции происходили рядом с расположенными в городе учреждениями федеральной власти. После того как президент Трамп издал указ о защите памятников и федеральной собственности, Министерство национальной безопасности задействовало в городе спецподразделения, что положило начало серии столкновений, которые привели к телесным повреждениям протестующих, расследованиям генерального инспектора и призывам местных лидеров к федеральным агентам покинуть город.	После того, как президент Трамп издал указ о защите статуй и федеральной собственности, Министерство внутренней безопасности перебросило в город тактические группы, начав серию столкновений, в результате которых пострадали протестующие, расследования генерального инспектора и призывы местных лидеров к федеральным агентам уйти.	0.3096614368290669
"""Я молюсь Всевышнему Богу, чтобы окружил он умершего Его Святой Милостью, встретил его в Своем богатом раю вместе с мучениками и добротелями."	"""Я молюсь Всемогущему Богу окружить умершего Его Святым Милосердием, приветствовать его в Его огромном раю рядом с шухадаа и добродетельными."	0.4128819157720892
Could you help follow up on it?	Can you please help follow up?	0.8257638315441784
The site of the Opening Ceremony of the Public Health and Pandemic Control Special Committee photographed in Shanghai on July 26th, 2020.	The scene of the inauguration ceremony of the Special Committee on Public Health and Pandemic taken in Shanghai on July 26.	0.8257638315441784
I know that.	I know it.	0.8257638315441784
Therefore, there is no problem with the platform or the products; what matters is the professionalism and professional integrity of the salesperson.	So on a whole, there is no problem with the platform or product. What is problematic is the professionalism and ethics of the salespeople.	0.8257638315441784
Бывает маскшейминг, а бывает стопроцентное разбойное нападение.	Есть стыд масок, а потом - нападение.	0.6881365262868154
Поэтому то, что я показал вам сегодня - это только начало.	Так что сегодня, то, что я вам показал сегодня, - это только начало.	0.3440682631434077
KHLOE Kardashians Ex-Freund Tristan Thompson, der sie betrogen hatte, hinterließ einen WEITEREN verzweifelten Kommentar auf ihrer Instagram-Seite nach Gerüchten, dass er sie zurück will.	KHLOE Kardashians betrügerischer Ex Tristan Thompson hat nach Gerüchten, er wolle sie zurück, ANDERE verzweifelte Kommentare auf ihrer Instagram-Seite hinterlassen.	0.8893476465730802
Всё, что мы видим сейчас, это лишь один кадр из эволюции  искусственного интеллекта.	Все, что мы видим сейчас, - это моментальный снимок эволюции искусственного интеллекта.	0.37534719615644474
According to related statistics, compared with traditional home appliances, the sales of healthcare products such as feet bath basin was hot, but there is no specialized industry standard for feet bath basin and so there is potential safety risk.	In the related data surface, compared with traditional household appliances, foot baths and other healthcare household appliances are sold, but foot baths do not have special industry standards, so there are certain safety hazards.	0.8257638315441784
Dasselbe sagten sie 1992 auch bereits über Severn Cullis-Suzuki. Lange bevor Thunberg die Politiker mit todernster Miene angestarrt und gesagt hat, dass „wir wahrscheinlich keine Zukunft mehr haben“ und Netzbürger sich gegenseitig zerreißen, während sie sie angreifen oder verteidigen, wurde die 12-Jährige Cullis-Suzuki bekannt als das „Mädchen, das die Welt für fünf Minuten zum Schweigen brachte“, als sie eine ähnliche Predigt vor der Weltklimakonferenz in Rio de Janeiro hielt.	"Andererseits sagten sie dasselbe über Severn Cullis-Suzuki im Jahr 1992. Lange bevor Thunberg den Parlamentariern klar wurde, dass ""wir wahrscheinlich nicht einmal mehr eine Zukunft haben"", rissen sich die Internetnutzer gegenseitig in Stücke, um sie anzugreifen und zu verteidigen. Die einjährige Cullis-Suzuki wurde als ""Das Mädchen, das die Welt fünf Minuten lang zum Schweigen brachte"" bekannt, als sie vor dem UN-Erdgipfel in Rio de Janeiro eine ähnliche Predigt hielt."	0.920726672171759
"The ""strong confrontation"" is more like a fairy fight, and Sun Jianqi, who is known as the ""Great Devil"", and Zhang Xindong, who has the same strength, performs a strong confrontation."	"The ""strong confrontation"" is more like a fight between the gods. Sun Jianqi, known as the ""big devil"", meets the equally powerful Zhang Xindong and staged a strong confrontation."	0.8670520231213873
И делая это, я закодировала все  возможные виды предубеждений.	И при этом я кодировал всевозможные предубеждения.	0.5898313082458417
Они забираются внутрь, и там такое начинается.	И они попадают внутрь и получают все это.	0.5161023947151115
Zimt kann das Krebsrisiko erhöhen – Leider kann ein mäßiger Konsum von Zimt zwar helfen, das Krebsrisiko zu senken, ein übermäßiger kann jedoch die Entstehung von Krebs fördern. Der Verzehr von zu viel Cumarin, das häufig in Cassia-Zimt enthalten ist, kann in Tierversuchen ebenfalls das Krebsrisiko erhöhen. Nach Ansicht von Wissenschaftlern soll Cumarin mit der Zeit gar unsere DNA schädigen können.	Kann das Krebsrisiko erhöhen - Während Zimt leider dazu beitragen kann, das Krebsrisiko zu senken, kann es auch sehr viel zur Entwicklung beitragen. Pro Tierstudien kann der Konsum von zu viel Cumarin, das häufig in Cassia Zimt vorkommt, das Risiko einer Krebsentwicklung erhöhen. Pro Wissenschaftler tut Cumarin dies, indem es angeblich unsere DNAs im Laufe der Zeit schädigt.	0.8753096614368291
И это означает, что это действительно важно, тщательно подумать об этом прямо сейчас - поразмышлять о наших собственных пробелах, наших собственных предубеждениях и о том, как это влияет на технологии, которые мы создаем, и обсудить, что современные технологии будут значить в будущем.	А это значит, что нам действительно важно, чтобы мы тщательно продумали об этом прямо сейчас — мы размышляем о своих собственных «слепых зонах», о своих предубеждениях и подумаем о том, как это информирует о технологиях, которые мы создаем, и обсуждаем, какое значение будет означать сегодняшняя технология для завтрашнего дня.	0.5161023947151115
It is really difficult to breed plants.	It's really difficult to breed plants.	0.8257638315441784
Sie haben bereits erfolglos versucht, das Gerät aus- und wieder einzuschalten, stimmt das?	Ich verstehe, dass Sie bereits versucht haben, es auszuschalten und ohne Erfolg zurückzuführen, richtig?	0.8753096614368291
Я просто давний фанат, который упивается ностальгией.	Я всего лишь старый фанат, испытывающий чувство ностальгии.	0.8257638315441784
которые находятся на этом конце спектра.	Так что есть кое-что, что продолжается там до конца.	0.4587576841912102
This is our prediction of what we will see.	This is our prediction of what we will see.	0.8257638315441784
Im Rahmen dieses Vorfalls wurden Williams vom Schiedsrichter insgesamt drei Verstöße gegen den Verhaltenskodex vorgeworfen: Erstens, unerlaubt gecoacht worden zu sein, zweitens ihren Tennisschlägers aus Wut zerschmettert zu haben und drittens,vom Schiedsrichter darauf angesprochen, diesen als „Dieb“ bezeichnet zu haben.	Während dieses Vorfalls gab die Bahnschiedsrichterin drei Code-Verstöße gegen Williams heraus: Eine wegen illegalen Trainings, eine zweite, weil sie frustriert ihren Tennisschläger gebrochen hatte und eine dritte, nachdem sie den Bahnschiedsrichter konfrontiert und ihn als „Dieb“ bezeichnet hatte.	0.8890723947151116
Климатические изменения, считают ученые, повлияли на температуру воды и, соответственно, прозрачность.	По мнению ученых, изменение климата повлияло на температуру воды и, следовательно, на прозрачность.	0.0
Further, many training agencies will sign employment agreement; they have quota for internal promotion, and you can be recommended to a company after your learning, so that the job interview process can be easier.	Moreover, many training institutions now sign employment agreements, and there are internal referral quotas. After learning, you can recommend to the company, so that you can save a lot of trouble in the interview process of looking for a job later.	0.9083402146985963
"Игра португальского плеймейкера стала настоящим откровением для ""Олд Траффорд"", и его появление в команде позволило Погба играть на более глубокой позиции в центре полузащиты, что также улучшило настроение Поля."	Португальский игрок стал открытием на «Олд Траффорде», и его прибытие позволило Погбе играть в более глубокой центральной позиции полузащиты, что также подняло ему настроение.	0.0
И некоторые тори из парламента надеются, что он продолжит эту серию и ему удастся предотвратить резкое падение рейтингов среди избирателей после череды вечеринок на Даунинг-стрит в знак протеста против законов о COVID.	И некоторые депутаты-тори надеются, что он продолжит эту полосу, сумев спасти себя от резкого падения рейтингов опросов после череды вечеринок на Даунинг-стрит вопреки законам Covid.	0.8753096614368291
В данном случае, они обе сильно колеблются.	В этом случае они оба довольно сильно раскачиваются.	0.0
"In the face of praise, he said: ""there is no who I saved, and this is my responsibility. ”"	"In the face of praise, he said: ""There is no one to save, this is my responsibility."""	0.8769611890999175
Согласованное сочетание нашей приверженности делу и экспертного опыта приносит пользу нашим клиентам.	Наше концентрированное сочетание преданности делу и опыта приносит пользу нашим клиентам.	0.8340214698596202
"The ""One AC, One DC"", dual UHV projects are put into service"	"""One Jiao has been"" two ultra-high pressure projects put into operation"	0.927608034682081
Сила воли и воображение являются нашей путеводной звездой, наделяя нас способностью находить новые пути и обходить сложности.	Наша сила воли и воображение являются путеводной звездой, позволяющей нам прокладывать новые пути и преодолевать препятствия.	0.0
НФС хотела получить не просто автомобиль, который бы перевозил слепых, а машину, которой незрячий мог бы самостоятельно управлять.	Чего хотел NFB, так это не автомобиль, который может водить слепого человека, а автомобиль, в котором слепой человек может принимать активные решения и водить машину.	0.16515276630883569
His active promotion of the development of Traditional Chinese Medicine to Macau and the Greater Bay Area has sufficiently reflected his sense of mission in his contribution to medical development strategy in our country.	His active role in promoting the development of Chinese medicine in Macau and the Greater Bay Area fully reflects his sense of mission to dedicate himself to the national medicine development strategy.	0.8257638315441784
"Барселона ""продает целую команду"" летом: Коутиньо, Дембеле, Ракитич и Видаль оказались в списках на трансфер"	У Барселоны этим летом есть все для продажи, так как Коутиньо, Дембеле, Ракитич и Видаль все перечисленные для трансферов	0.4346125429179887
Примерно в то же время Национальная федерация слепых, или НФС, поставила перед исследовательским комитетом задачу разработать автомобиль, которым может независимо и безопасно управлять слепой.	Примерно в это же время Национальная федерация слепых, или NFB, поставила перед исследовательским комитетом вопрос о том, кто может разработать автомобиль, позволяющий слепому безопасно и независимо ездить.	0.3058384561274735
Государственный долг увеличится, создавая финансовые проблемы по всему миру.	Государственный долг будет раздуваться, создавая финансовые проблемы по всему миру.	0.0
"""Я молюсь Всевышнему Богу, чтобы окружил он умершего Его Святой Милостью, встретил его в Своем богатом раю вместе с мучениками и добротелями."	«Я молю Всемогущего Бога окружить покойника Своей Святой Милостью, приветствовать его в Его огромном раю вместе с шухадаа и добродетельными.	0.0
У нас уже есть автономное авто.	У нас уже есть автономный автомобиль.	0.6881365262868154
В ролике мальчик также утверждает, что из-за пандемии его ежедневная выручка упала, и потеря товара станет дополнительным финансовым бременем.	Мальчик также утверждал, что его ежедневная продажа снизилась из-за пандемии и потеря его акций возложит на него дополнительное финансовое бремя, в видео.	0.37534719615644474
Я начал думать о том, что я могу сделать, чтобы улучшить ситуацию.	Я начал обдумывать, что я могу сделать, чтобы улучшить ситуацию.	0.0
Сумка изготовлена в условиях без домашних животных и табачного дыма	Сумка изготовлена в среде, свободной от домашних животных и дыма.	0.8340214698596202
What is the pickup address?	Where is the pick-up address?	0.8257638315441784
Это действие удалит информацию с вашего устройства eReader, но вы можете сделать резервную копию и перенести информацию обратно после его выполнения	Это удалит информацию на вашем eReader, но вы можете сделать резервную копию и снова передать информацию позже.	0.8257638315441784
Большое спасибо.	Большое спасибо.	0.0
Тем не менее, сообразительность и бойцовский стиль Макинани сделали ее героем среди некоторых сторонников Трампа с тех пор, как она впервые провела брифинг 1 мая, сменив на посту пресс-секретаря Белого дома в апреле.	Тем не менее, смекалка и боевой стиль Макинани сделали ее героем для некоторых сторонников Трампа, поскольку она провела свой первый брифинг 1 мая после того, как заняла пост пресс-секретаря в апреле.	0.13318771476519004
Всё, что связано с подобными ситуациями.	Все взаимосвязи связанных ситуаций.	0.0
Мы предполагаем, что это звучало бы именно так.	Теперь это наш прогноз на то, что мы увидим.	0.4587576841912102
"Пожар ""Карен"" был зарегистрирован на Сьерра-авеню и Карен-лейн после 15:00."	Сообщение о пожаре в Карен поступило сразу после 15: 00 на Сьерра-авеню и Карен Лейн.	0.33030553261767137
Предложение о трансфере французского победителя Кубка мира Дембеле, который боролся за игровое время в Камп Ну, недавно было сделано Пари Сен-Жермен в обмен на передачу Неймара.	Победитель Кубка мира Франции Дембеле, который боролся за время игры в Камп Ноу, недавно был связан с переходом в ПСЖ в обмен с Неймаром.	0.0
В процессе изучения проблемы загрязнения воздуха стало понятно, что нам необходимо найти способ принятия более верных решений для осуществления контроля за загрязнением воздуха, а учитывая масштабы этой проблемы, необходимо сделать это совместными усилиями.	Когда я подумал о проблеме загрязнения воздуха, стало ясно, что нам нужно найти способ принимать лучшие решения о том, как мы управляем загрязнением воздуха, и, учитывая масштаб проблемы, нужно было делать это сообща.	0.025023146410429773
Я еще не слышала запись так громко — действительно, весьма впечатляет.	Теперь я никогда не слышал это так громко - это на самом деле более драматично.	0.5898313082458417
Они вынуждены привлекать опылителей, чтобы размножаться.	Им приходится пытаться привлечь опылителей, чтобы они выполняли свои приказы.	0.4128819157720892
I didn’t take it!	I didn't take it!!	0.8257638315441784
Будущее начинается в том, что  мы создаём и строим прямо сейчас.	Будущее продолжается из того, что мы строим и создаем прямо сейчас.	0.37534719615644474
I haven’t received the delivery.	Haven't received takeaway yet	0.8340214698596202
Zuerst war es das Video von Beratern aus Nr. 10, die lachend über eine Weihnachtsfeier am 18. Dezember letztes Jahr sprachen.	Zuerst war da das Video von Mitarbeitern von Nr. 10, die lachen, als sie am 18. Dezember letzten Jahres über ein Weihnachtstreffen sprachen.	0.8340214698596202
